,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_epochs,param_eta,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.9556560516357422,0.018215735753377277,0.31198309831971877,0.31198766775480596,0.001,50,1e-05,"{'C': 0.001, 'epochs': 50, 'eta': 1.0000000000000001e-05}",20,0.19298150163220892,0.19298150163220892,0.3470076169749728,0.3470076169749728,0.39597388465723615,0.39597388465723615,0.02763755950926102,0.002019726349157378,0.08649203953310036,0.08649190530171841
1,2.015202601750692,0.019230206807454426,0.40073794847263844,0.40074356184258253,0.001,50,0.001,"{'C': 0.001, 'epochs': 50, 'eta': 0.001}",12,0.21256800870511425,0.21256800870511425,0.48574537540805224,0.48574537540805224,0.503917301414581,0.503917301414581,0.09993445394248368,0.002340240005190798,0.13326831194475489,0.13326685965295545
2,2.1974907716115317,0.020220518112182617,0.181611254249249,0.18161044613710556,0.001,50,0.1,"{'C': 0.001, 'epochs': 50, 'eta': 0.10000000000000001}",47,0.18661588683351468,0.18661588683351468,0.19145810663764962,0.19145810663764962,0.16675734494015235,0.16675734494015235,0.12636263548442017,0.0023983885526463727,0.010686878254701524,0.010687149121977872
3,4.195354302724202,0.04595446586608887,0.1998911860718172,0.1998911860718172,0.001,50,10.0,"{'C': 0.001, 'epochs': 50, 'eta': 10.0}",31,0.1998911860718172,0.1998911860718172,0.1998911860718172,0.1998911860718172,0.1998911860718172,0.1998911860718172,0.4097296499194936,0.007573013688008244,0.0,0.0
4,4.26859990755717,0.01672045389811198,0.3650152031647211,0.36501632208922746,0.001,100,1e-05,"{'C': 0.001, 'epochs': 100, 'eta': 1.0000000000000001e-05}",16,0.3461371055495103,0.3461371055495103,0.3633297062023939,0.3633297062023939,0.38558215451577804,0.38558215451577804,0.42252369091489167,0.0002483857323595696,0.01614720278643434,0.016147476105160704
5,4.426663080851237,0.028911511103312176,0.38703381993722186,0.3870330068915488,0.001,100,0.001,"{'C': 0.001, 'epochs': 100, 'eta': 0.001}",15,0.47252448313384116,0.47252448313384116,0.31648531011969533,0.31648531011969533,0.3720892274211099,0.3720892274211099,0.15754497428510936,0.0012507825009559028,0.06457484211950291,0.06457317960980635
6,4.811803738276164,0.02155788739522298,0.17408649878457563,0.1740841494377947,0.001,100,0.1,"{'C': 0.001, 'epochs': 100, 'eta': 0.10000000000000001}",48,0.19145810663764962,0.19145810663764962,0.1998911860718172,0.1998911860718172,0.1309031556039173,0.1309031556039173,0.4213603290675056,0.0032486705989165543,0.03072624016736248,0.030727055163669293
7,6.943835973739624,0.03442462285359701,0.19742460284100263,0.1974247370330069,0.001,100,10.0,"{'C': 0.001, 'epochs': 100, 'eta': 10.0}",42,0.19145810663764962,0.19145810663764962,0.20092491838955387,0.20092491838955387,0.1998911860718172,0.1998911860718172,0.07376947684518913,0.001315519779896338,0.004240175316118897,0.004240099002954553
8,11.633610804875692,0.01704541842142741,0.5164489983553586,0.516449038810301,0.001,300,1e-05,"{'C': 0.001, 'epochs': 300, 'eta': 1.0000000000000001e-05}",4,0.5190968443960827,0.5190968443960827,0.5130576713819369,0.5130576713819369,0.5171926006528835,0.5171926006528835,0.07075786389265276,0.0004100680503546225,0.002520983848737101,0.002520921238225583
9,8.162368218104044,0.018715858459472656,0.42904861815783585,0.42905331882480957,0.001,300,0.001,"{'C': 0.001, 'epochs': 300, 'eta': 0.001}",8,0.3924918389553863,0.3924918389553863,0.3792165397170838,0.3792165397170838,0.5154515778019586,0.5154515778019586,5.1626425268375895,0.0020998420985307684,0.0613310716523338,0.06133271426233857
10,12.679105122884115,0.01955135663350423,0.19680795407318122,0.1968081247733043,0.001,300,0.1,"{'C': 0.001, 'epochs': 300, 'eta': 0.10000000000000001}",44,0.20092491838955387,0.20092491838955387,0.1895538628944505,0.1895538628944505,0.1999455930359086,0.1999455930359086,0.2698410805841829,0.001227868279656866,0.005145183060646318,0.0051450951460147555
11,20.67311191558838,0.03509298960367838,0.19898435400166478,0.19898440333696046,0.001,300,10.0,"{'C': 0.001, 'epochs': 300, 'eta': 10.0}",37,0.1998911860718172,0.1998911860718172,0.197170837867247,0.197170837867247,0.1998911860718172,0.1998911860718172,0.2756652224629054,0.0035691069448353717,0.0012824018833536037,0.0012823844417601481
